,full_name,surname,far_right,years,country_name,epg_code,epg_names,national_party_id,national_party_name,national_party_family
1062,BANOTTI Mary Elizabeth,banotti,0,1999-2004,Ireland,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2202,Fine Gael,CDem
1063,COLLINS Gerard,collins,1,1999-2004,Ireland,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",2201,Fianna Fáil,Con
1064,COX Pat,cox,0,1999-2004,Ireland,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",2205,Independent-Lib (Maher/Cox),Lib
1065,CROWLEY Brian,crowley,1,1999-2004,Ireland,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",2201,Fianna Fáil,Con
1066,CUSHNAHAN John Walls,cushnahan,0,1999-2004,Ireland,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2202,Fine Gael,CDem
1067,DE ROSSA Proinsias,de,0,1999-2004,Ireland,S,"['Socialist Group', 'Party of European Socialists']",2206,Labour Party,Soc
1068,DOYLE Avril,doyle,0,1999-2004,Ireland,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2202,Fine Gael,CDem
1069,FITZSIMONS James (Jim),fitzsimons,1,1999-2004,Ireland,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",2201,Fianna Fáil,Con
1070,GALLAGHER Pat the Cope,gallagher,1,1999-2004,Ireland,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",2201,Fianna Fáil,Con
1071,HYLAND Liam,hyland,1,1999-2004,Ireland,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",2201,Fianna Fáil,Con
1072,McCARTIN John Joseph,mccartin,0,1999-2004,Ireland,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2202,Fine Gael,CDem
1073,McKENNA Patricia,mckenna,0,1999-2004,Ireland,V,"['Green Group', 'Greens/European Free Alliance']",2203,Green Party,Grn
1074,SCALLON Dana Rosemary,scallon,0,1999-2004,Ireland,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2204,Independent-CDem (Dana),CDem
1075,Ó NEACHTAIN Seán,ó,1,1999-2004,Ireland,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",2201,Fianna Fáil,Con
1076,ANGELILLI Roberta,angelilli,1,1999-2004,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1601,Movimento soziale italiano / Alleanza nazionale,Right
1077,BERLATO Sergio,berlato,1,1999-2004,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1601,Movimento soziale italiano / Alleanza nazionale,Right
1078,BERLUSCONI Silvio,berlusconi,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1079,BERTINOTTI Fausto,bertinotti,0,1999-2004,Italy,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1614,Partito dei Comunisti Italiani / Rifondazione Communista / Partito della rifondazione comunista,Left
1080,BIGLIARDO Roberto Felice,bigliardo,1,1999-2004,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1612,Movimento sociale fiamma tricolore,Right
1081,BODRATO Guido,bodrato,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1606,Democratico Cristiana / Partito populare italiano,CDem
1082,BONINO Emma,bonino,1,1999-2004,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1617,Partito radicale / Pannella-Riformatori / Lista Bonino / Lega antiproibizionisti droga,Lib
1083,BOSELLI Enrico,boselli,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1621,Partito socialista italiano / Socialisti democratici italiani,Soc
1084,BOSSI Umberto,bossi,1,1999-2004,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1611,Lega Nord,Reg
1085,BRUNETTA Renato,brunetta,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1086,BUTTIGLIONE Rocco,buttiglione,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1604,Cristiani democratici uniti,CDem
1087,CACCIARI Massimo,cacciari,0,1999-2004,Italy,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1607,I Democratici,Lib
1088,CAPPATO Marco,cappato,1,1999-2004,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1617,Partito radicale / Pannella-Riformatori / Lista Bonino / Lega antiproibizionisti droga,Lib
1089,CARRARO Massimo,carraro,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1090,CELLI Giorgio,celli,0,1999-2004,Italy,V,"['Green Group', 'Greens/European Free Alliance']",1609,Verdi Arcobaleno / Federazione dei Verdi / Verdi Europa,Grn
1091,CESARO Luigi,cesaro,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1092,COCILOVO Luigi,cocilovo,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1606,Democratico Cristiana / Partito populare italiano,CDem
1093,COSSUTTA Armando,cossutta,0,1999-2004,Italy,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1614,Partito dei Comunisti Italiani / Rifondazione Communista / Partito della rifondazione comunista,Left
1094,COSTA Paolo,costa,0,1999-2004,Italy,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1607,I Democratici,Lib
1095,COSTA Raffaele,costa,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1096,DELL'ALBA Gianfranco,dell'alba,1,1999-2004,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1617,Partito radicale / Pannella-Riformatori / Lista Bonino / Lega antiproibizionisti droga,Lib
1097,DELLA VEDOVA Benedetto,della,1,1999-2004,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1617,Partito radicale / Pannella-Riformatori / Lista Bonino / Lega antiproibizionisti droga,Lib
1098,DELL'UTRI Marcello,dell'utri,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1099,DE MITA Luigi Ciriaco,de,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1606,Democratico Cristiana / Partito populare italiano,CDem
1100,DI LELLO FINUOLI Giuseppe,di,0,1999-2004,Italy,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1614,Partito dei Comunisti Italiani / Rifondazione Communista / Partito della rifondazione comunista,Left
1101,DI PIETRO Antonio,di,0,1999-2004,Italy,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1607,I Democratici,Lib
1102,DUPUIS Olivier,dupuis,1,1999-2004,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1617,Partito radicale / Pannella-Riformatori / Lista Bonino / Lega antiproibizionisti droga,Lib
1103,EBNER Michl,ebner,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1625,Südtiroler Volkspartei,Reg
1104,FATUZZO Carlo,fatuzzo,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1615,Pensionati,Con
1105,FAVA Giovanni Claudio,fava,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1106,FERRI Enrico,ferri,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1107,FINI Gianfranco,fini,1,1999-2004,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1601,Movimento soziale italiano / Alleanza nazionale,Right
1108,FIORI Francesco,fiori,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1109,FITTO Raffaele,fitto,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1110,FORMENTINI Marco,formentini,0,1999-2004,Italy,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1611,Lega Nord,Reg
1111,GARGANI Giuseppe,gargani,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1112,GAWRONSKI Jas,gawronski,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1113,GEMELLI Vitaliano,gemelli,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1604,Cristiani democratici uniti,CDem
1114,GHILARDOTTI Fiorella,ghilardotti,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1115,GOBBO Gian Paolo,gobbo,1,1999-2004,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1611,Lega Nord,Reg
1116,IMBENI Renzo,imbeni,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1117,LAVARRA Vincenzo,lavarra,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1118,LISI Giorgio,lisi,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1119,LOMBARDO Raffaele,lombardo,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1603,Centro cristiano democratico,CDem
1120,MANISCO Lucio,manisco,0,1999-2004,Italy,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1614,Partito dei Comunisti Italiani / Rifondazione Communista / Partito della rifondazione comunista,Left
1121,MANTOVANI Mario,mantovani,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1122,MARINI Franco,marini,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1606,Democratico Cristiana / Partito populare italiano,CDem
1123,MARTELLI Claudio,martelli,0,1999-2004,Italy,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1621,Partito socialista italiano / Socialisti democratici italiani,Soc
1124,MASTELLA Mario Clemente,mastella,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1626,Unione Democratici per l'Europa,CDem
1125,MAURO Mario,mauro,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1126,MENNEA Pietro-Paolo,mennea,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1616,Partito reppublicano italiano,Lib
1127,MESSNER Reinhold,messner,0,1999-2004,Italy,V,"['Green Group', 'Greens/European Free Alliance']",1609,Verdi Arcobaleno / Federazione dei Verdi / Verdi Europa,Grn
1128,MORGANTINI Luisa,morgantini,0,1999-2004,Italy,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1614,Partito dei Comunisti Italiani / Rifondazione Communista / Partito della rifondazione comunista,Left
1129,MUSCARDINI Cristiana,muscardini,1,1999-2004,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1601,Movimento soziale italiano / Alleanza nazionale,Right
1130,MUSOTTO Francesco,musotto,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1131,MUSUMECI Sebastiano (Nello),musumeci,1,1999-2004,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1601,Movimento soziale italiano / Alleanza nazionale,Right
1132,NAPOLETANO Pasqualina,napoletano,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1133,NAPOLITANO Giorgio,napolitano,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1134,NISTICO' Giuseppe,nistico',0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1135,NOBILIA Mauro,nobilia,1,1999-2004,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1601,Movimento soziale italiano / Alleanza nazionale,Right
1136,PACIOTTI Elena Ornella,paciotti,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1137,PANNELLA Marco,pannella,1,1999-2004,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1617,Partito radicale / Pannella-Riformatori / Lista Bonino / Lega antiproibizionisti droga,Lib
1138,PISICCHIO Giuseppe,pisicchio,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1623,Rinnovamento italiano - Dini,CDem
1139,PITTELLA Giovanni,pittella,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1140,PODESTÀ Guido,podestà,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1141,POLI BORTONE Adriana,poli,1,1999-2004,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1601,Movimento soziale italiano / Alleanza nazionale,Right
1142,PROCACCI Giovanni,procacci,0,1999-2004,Italy,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1607,I Democratici,Lib
1143,RUFFOLO Giorgio,ruffolo,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1144,RUTELLI Francesco,rutelli,0,1999-2004,Italy,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1607,I Democratici,Lib
1145,SACCONI Guido,sacconi,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1146,SARTORI Amalia,sartori,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1147,SBARBATI Luciana,sbarbati,0,1999-2004,Italy,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1618,Partito reppublicano italiano,Lib
1148,SCAPAGNINI Umberto,scapagnini,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1149,SEGNI Mariotto,segni,1,1999-2004,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1624,Patto Segni,CDem
1150,SGARBI Vittorio,sgarbi,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1151,SPERONI Francesco Enrico,speroni,1,1999-2004,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1611,Lega Nord,Reg
1152,TAJANI Antonio,tajani,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1153,TRENTIN Bruno,trentin,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1154,TURCHI Franz,turchi,1,1999-2004,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1601,Movimento soziale italiano / Alleanza nazionale,Right
1155,TURCO Maurizio,turco,1,1999-2004,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1617,Partito radicale / Pannella-Riformatori / Lista Bonino / Lega antiproibizionisti droga,Lib
1156,VATTIMO Gianni,vattimo,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1157,VELTRONI Walter,veltroni,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1158,VICECONTE Guido,viceconte,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1159,VINCI Luigi,vinci,0,1999-2004,Italy,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1614,Partito dei Comunisti Italiani / Rifondazione Communista / Partito della rifondazione comunista,Left
1160,VOLCIC Demetrio,volcic,0,1999-2004,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
1161,ZAPPALA' Stefano,zappala',0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1162,ANDRIA Generoso,andria,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1163,CAVERI Luciano,caveri,0,1999-2004,Italy,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1627,Union Valdostana,Reg
1164,BARTOLOZZI Paolo,bartolozzi,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1165,CORSARO Massimo,corsaro,1,1999-2004,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1601,Movimento soziale italiano / Alleanza nazionale,Right
1166,SANTINI Giacomo,santini,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1167,BORGHEZIO Mario,borghezio,1,1999-2004,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1611,Lega Nord,Reg
1168,BRIENZA Giuseppe,brienza,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1603,Centro cristiano democratico,CDem
1169,CALO Giorgio,calo,0,1999-2004,Italy,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1607,I Democratici,Lib
1170,MENNITTI Domenico,mennitti,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1608,Forza Italia,Con
1171,MUSSA Antonio,mussa,1,1999-2004,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1601,Movimento soziale italiano / Alleanza nazionale,Right
1172,PASTORELLI Paolo,pastorelli,0,1999-2004,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1604,Cristiani democratici uniti,CDem
1173,FLESCH Colette,flesch,0,1999-2004,Luxembourg,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1802,Parti démcratique,Lib
1174,GOEBBELS Robert,goebbels,0,1999-2004,Luxembourg,S,"['Socialist Group', 'Party of European Socialists']",1804,Parti ouvrier socialiste luxembourgeois,Soc
1175,LULLING Astrid,lulling,0,1999-2004,Luxembourg,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1803,Parti chrétien social,CDem
1176,POOS Jacques F.,poos,0,1999-2004,Luxembourg,S,"['Socialist Group', 'Party of European Socialists']",1804,Parti ouvrier socialiste luxembourgeois,Soc
1177,SANTER Jacques,santer,0,1999-2004,Luxembourg,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1803,Parti chrétien social,CDem
1178,TURMES Claude,turmes,0,1999-2004,Luxembourg,V,"['Green Group', 'Greens/European Free Alliance']",1801,Déi Gréng,Grn
1179,REDING Viviane,reding,0,1999-2004,Luxembourg,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1803,Parti chrétien social,CDem
1180,GOERENS Charles,goerens,0,1999-2004,Luxembourg,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1802,Parti démcratique,Lib
1181,BELDER Bastiaan,belder,1,1999-2004,Netherlands,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1907,Staatkundig Gereformeerde Partij-Gereformeerd Politiek Verbond-Reformatorisch Politieke Federatie,Con
1182,BERG Margrietus J. van den ,berg,0,1999-2004,Netherlands,S,"['Socialist Group', 'Party of European Socialists']",1906,Partij van de Arbeid,Soc
1183,BLOKLAND Johannes (Hans),blokland,1,1999-2004,Netherlands,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1907,Staatkundig Gereformeerde Partij-Gereformeerd Politiek Verbond-Reformatorisch Politieke Federatie,Con
1184,BOS Bob van den ,bos,0,1999-2004,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1902,Democraten 66,Lib
1185,BOUWMAN Theodorus J.J.,bouwman,0,1999-2004,Netherlands,V,"['Green Group', 'Greens/European Free Alliance']",1903,Groen Links / De Groenen,Grn
1186,BUITENWEG Kathalijne Maria,buitenweg,0,1999-2004,Netherlands,V,"['Green Group', 'Greens/European Free Alliance']",1903,Groen Links / De Groenen,Grn
1187,BURG Ieke van den ,burg,0,1999-2004,Netherlands,S,"['Socialist Group', 'Party of European Socialists']",1906,Partij van de Arbeid,Soc
1188,CORBEY Dorette,corbey,0,1999-2004,Netherlands,S,"['Socialist Group', 'Party of European Socialists']",1906,Partij van de Arbeid,Soc
1189,DAM Rijk van ,dam,1,1999-2004,Netherlands,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1907,Staatkundig Gereformeerde Partij-Gereformeerd Politiek Verbond-Reformatorisch Politieke Federatie,Con
1190,DOORN Bert,doorn,0,1999-2004,Netherlands,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1901,Christen Democratisch Appèl,CDem
1191,HULTEN Michiel van ,hulten,0,1999-2004,Netherlands,S,"['Socialist Group', 'Party of European Socialists']",1906,Partij van de Arbeid,Soc
1192,LAAN Lousewies van der ,laan,0,1999-2004,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1902,Democraten 66,Lib
1193,LAGENDIJK Joost,lagendijk,0,1999-2004,Netherlands,V,"['Green Group', 'Greens/European Free Alliance']",1903,Groen Links / De Groenen,Grn
1194,MAAT Albert Jan,maat,0,1999-2004,Netherlands,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1901,Christen Democratisch Appèl,CDem
1195,MAATEN Jules,maaten,0,1999-2004,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1909,Volkspartij voor Vrijheid en Democratie,L
1196,MAIJ-WEGGEN Hanja,maij-weggen,0,1999-2004,Netherlands,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1901,Christen Democratisch Appèl,CDem
1197,MANDERS Toine,manders,0,1999-2004,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1909,Volkspartij voor Vrijheid en Democratie,L
1198,MARTENS Maria,martens,0,1999-2004,Netherlands,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1901,Christen Democratisch Appèl,CDem
1199,MEIJER Erik,meijer,0,1999-2004,Netherlands,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1908,Socialistiese Partij,Soc
1200,MULDER Jan,mulder,0,1999-2004,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1909,Volkspartij voor Vrijheid en Democratie,L
1201,OOMEN-RUIJTEN Ria G.H.C.,oomen-ruijten,0,1999-2004,Netherlands,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1901,Christen Democratisch Appèl,CDem
1202,OOSTLANDER Arie M.,oostlander,0,1999-2004,Netherlands,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1901,Christen Democratisch Appèl,CDem
1203,PEIJS Karla M.H.,peijs,0,1999-2004,Netherlands,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1901,Christen Democratisch Appèl,CDem
1204,PLOOIJ-VAN GORSEL Elly,plooij-van,0,1999-2004,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1909,Volkspartij voor Vrijheid en Democratie,L
1205,PRONK Bartho,pronk,0,1999-2004,Netherlands,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1901,Christen Democratisch Appèl,CDem
1206,ROO Alexander de,roo,0,1999-2004,Netherlands,V,"['Green Group', 'Greens/European Free Alliance']",1903,Groen Links / De Groenen,Grn
1207,SANDERS-TEN HOLTE Maria Johanna (Marieke),sanders-ten,0,1999-2004,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1909,Volkspartij voor Vrijheid en Democratie,L
1208,SWIEBEL Joke,swiebel,0,1999-2004,Netherlands,S,"['Socialist Group', 'Party of European Socialists']",1906,Partij van de Arbeid,Soc
1209,van VELZEN W.G.,van,0,1999-2004,Netherlands,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1901,Christen Democratisch Appèl,CDem
1210,WIEBENGA Jan-Kees,wiebenga,0,1999-2004,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1909,Volkspartij voor Vrijheid en Democratie,L
1211,WIERSMA Jan Marinus,wiersma,0,1999-2004,Netherlands,S,"['Socialist Group', 'Party of European Socialists']",1906,Partij van de Arbeid,Soc
1212,VERMEER Herman,vermeer,0,1999-2004,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1909,Volkspartij voor Vrijheid en Democratie,L
1213,BOOGERD-QUAAK Johanna L.A.,boogerd-quaak,0,1999-2004,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1902,Democraten 66,Lib
1214,PEX Peter,pex,0,1999-2004,Netherlands,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1901,Christen Democratisch Appèl,CDem
1215,ALMEIDA GARRETT Teresa,almeida,0,1999-2004,Portugal,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2106,Partido Social Democrata,CDem
1216,CAMPOS António ,campos,0,1999-2004,Portugal,S,"['Socialist Group', 'Party of European Socialists']",2105,Partido Socialista,Soc
