,full_name,surname,far_right,years,country_name,epg_code,epg_names,national_party_id,national_party_name,national_party_family
843,BUTEL Yves,butel,1,1999-2004,France,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1403,"Chasse, Pêche, Nature, Traditions",Anti-EU
844,CARLOTTI Marie-Arlette,carlotti,0,1999-2004,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
845,CAUDRON Gérard,caudron,0,1999-2004,France,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1412,Parti Socialiste,Soc
846,CAULLERY Isabelle,caullery,1,1999-2004,France,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1407,Mouvement pour l'Autre Europe / Rassemblement pour la France / Mouvement pour la France,Anti-EU
847,CAUQUIL Chantal,cauquil,0,1999-2004,France,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1408,Lutte ouvrière / Ligue Communiste Révolutionnaire,Left
848,COHN-BENDIT Daniel Marc,cohn-bendit,0,1999-2004,France,V,"['Green Group', 'Greens/European Free Alliance']",1416,Les Verts,Grn
849,CORNILLET Thierry,cornillet,0,1999-2004,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1414,Union pour la démocratie française / Union pour la démocratie française - Force démocrate / Union pour la démocratie française - Parti populaire pour la démocratie française / Union pour la France en Europe,Con
850,COUTEAUX Paul,couteaux,1,1999-2004,France,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1407,Mouvement pour l'Autre Europe / Rassemblement pour la France / Mouvement pour la France,Anti-EU
851,DARRAS Danielle,darras,0,1999-2004,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
852,DARY Michel J.M.,dary,0,1999-2004,France,S,"['Socialist Group', 'Party of European Socialists']",1405,Energie Radicale / Mouvement Radicaux de Gauche / Parti radical de gauche,Soc
853,DAUL Joseph,daul,0,1999-2004,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1404,Rassemblement pour la République / Défence des intérêts de la France en Europe,Con
854,DECOURRIERE Francis,decourriere,0,1999-2004,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1414,Union pour la démocratie française / Union pour la démocratie française - Force démocrate / Union pour la démocratie française - Parti populaire pour la démocratie française / Union pour la France en Europe,Con
